Adname,Spend,New,Reg,Dep,Qua
NikaFedorova_crCASINOUAS_01_08_2024(9)_t1_L2_2,0,36,2,0,0
NikaFedorova_crCASINOUAS_01_08_2024(12)_t3_L2_2,0,43|2,2,0,0
NikaFedorova_crCASINOUAS_01_08_2024(7)_t4_L1,0,30,2,0,0
pasha5_ab_590007703003539_77_Instagram_Feed,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(3)_t1_L1_1,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(3)_t1_L1_1_Group_1_Image,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(3)_t1_L1_2_Group_1_Image,0,5,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(9)_t1_L2,0,5,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(3)_t1_L1_Group_1_Image,0,1,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(15)_t2_L2,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t4_L2,0,4,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(7)_t4_L1_2,0,2,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(9)_t1_L2_1,0,2,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t4_L2_1,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(8)_t5_L1_2,0,2,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(4)_t2_L1_2_Group_1_Image,0,1,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t4_L2_2,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(3)_t1_L1,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(4)_t2_L1_1,0,1,0,0,0
test1,0,1,0,0,0
"Публикация: """"","1,2",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(2)_t1_L1,"0,43",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(3)_t3_L1,"11,44",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChi_22_01_25_(1)_(1)_t2_L1,"12,93",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChi_22_01_25_(1)_(1)_t5_L1,"24,71",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(3)_t6_L1,"0,07",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(2)_t4_L1,"0,09",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(5)_t2_L2,"24,66",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(1)_t3_L2,"0,55",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(6)_t1_L2,"0,56",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(6)_t4_L2,"15,6",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(1)_t6_L2,"5,38",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(5)_t5_L2,"3,49",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(5)_t5_L1,"0,32",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(2)_t6_L1,"22,38",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(4)_t4_L1,"1,93",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(1)_t2_L1,"7,11",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(3)_t3_L1,"18,37",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(4)_t4_L1_1,2,0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(4)_t6_L1,"20,63",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(3)_t2_L2,"46,18",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(1)_t1_L2,"35,37",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(4)_t5_L2,"10,41",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(4)_t3_L2,"10,52",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChi_22_01_25_(1)_t4_L2,"7,87",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(2)_t1_L1,"19,36",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChi_22_01_25_(1)_t5_L1,"12,25",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(2)_t7_L1,"21,46",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(4)_t7_L2,"7,55",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(1)_t6_L1,"2,41",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(2)_t2_L2,"7,97",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(10)_t1_L1,"12,77",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(6)_t1_L2,"4,03",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(8)_t1_L1,"1,43",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(9)_t1_L2,"24,35",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(11)_t1_L1,"2,39",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(13)_t1_L2,"1,6",0,0,0,0
MelaniaVysotskaya_crCASINOUA_12_08_2024(17)_t5_L2,"0,69",0,0,0,0
Promoting website: https://facebook.com/61565286692061,"0,32",0,0,0,0
