Adname,Spend,New,Reg,Dep,Qua
NikaFedorova_crCASINOUAS_V1_01_08_2024(6_1)_t3_L2,0,124|4,19,3,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_10,0,88|1,19,5,0
MelaniaVysotskaya_crCASINOUA_17_08_2024(20)_t1_L1,"17,23",26,2,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(5)_t3_L1_9,"8,31",11,1,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(14)_t5_L2,"7,53",8,0,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(5)_t3_L1_1,"8,78",12,1,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(10)_t2_L2_15,"10,58",17,1,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(14)_t3_L2_3,"10,96",9,1,0,0
MelaniaVysotskaya_crCASINOUA_12_08_2024(16)_t2_L2,"11,06",20,1,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(14)_t3_L2_7,"9,78",14,1,0,0
MelaniaVysotskaya_crCASINOUA_17_08_2024(20)_t4_L1,"12,63",8,1,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(10)_t2_L2_8,"8,28",13,0,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(5)_t3_L1_11,"7,62",6,0,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(7)_t2_L1,"42,4",48,4,1,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_30,0,32,7,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_17,0,160|9,21,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_1,0,23,4,1,0
MelaniaVysotskaya_crCASINOUA_05_08_2024(3)_t5_L1,"7,55",9,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(7)_t4_L1_1,0,450|26,67,7,0
MelaniaVysotskaya_crCASINOUA_12_08_2024(17)_t1_L2,"10,32",17,1,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(14)_t3_L2_15,"8,99",8,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_52,0,11|2,3|1,2,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(10)_t2_L2_14,"7,77",9,1,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(10)_t2_L2_5,"6,89",4,0,0,0
MelaniaVysotskaya_crCASINOUA_12_08_2024(16)_t3_L2,"11,91",17|1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_36,0,49,10,3,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(14)_t3_L2_2,"7,58",8,0,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(5)_t3_L1_13,"15,59",21,2,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(5)_t3_L1_7,"8,61",10,0,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(5)_t3_L1_2,"8,98",9,0,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(10)_t2_L2_13,"7,84",14,0,0,0
MelaniaVysotskaya_crCASINOUA_05_09_2024(23)_t4_L2,"11,89",17,0,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(5)_t3_L1_10,"12,25",5,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_31,0,6,1,0,0
